iteration,total_iterations,action_noise_std,value_function_loss,surrogate_loss,entropy_loss,mean_reward,mean_episode_length,rew_air_time,rew_base_angular_vel,rew_base_linear_vel,rew_foot_clearance,rew_gait,rew_action_smoothness,rew_air_time_variance,rew_base_motion,rew_base_orientation,rew_foot_slip,rew_joint_acc,rew_joint_pos,rew_joint_torques,rew_joint_vel,terrain_level,error_vel_xy,error_vel_yaw,term_timeout,term_body_contact,term_out_of_bounds,total_timesteps,iteration_time_s
0,30000,1.0,2.5044,0.0887,17.0273,2.78,13.58,0.009,0.0297,0.1029,0.0001,0.0382,-0.0292,-0.0,-0.0116,-0.0013,-0.0004,-0.0034,-0.0029,-0.0001,-0.0018,4.3819,0.0069,0.0011,0.0071,0.0,0.0,117600.0,3.46
1,30000,1.0,3.5777,0.0015,17.0328,6.14,30.21,0.0183,0.0829,0.3176,0.0015,0.1037,-0.0877,-0.0001,-0.0325,-0.0045,-0.0086,-0.0062,-0.0096,-0.0004,-0.0034,4.3681,0.0201,0.0071,0.0216,0.0,0.0,235200.0,1.95
2,30000,1.01,3.501,-0.0016,17.0604,11.75,55.06,0.0266,0.133,0.5077,0.003,0.2159,-0.1451,-0.0001,-0.0392,-0.007,-0.0192,-0.0093,-0.0119,-0.0006,-0.0049,4.3563,0.0353,0.0159,0.0343,0.0,0.0,352800.0,1.91
3,30000,1.01,3.3521,0.0005,17.1343,16.57,75.91,0.0303,0.1873,0.721,0.0044,0.3108,-0.2026,-0.0001,-0.046,-0.0103,-0.0317,-0.0141,-0.0179,-0.0009,-0.0064,4.3433,0.0487,0.0211,0.048,0.0,0.0,470400.0,1.95
4,30000,1.01,3.1831,0.0011,17.1629,22.0,99.24,0.0352,0.2386,0.9382,0.0059,0.4197,-0.2612,-0.0001,-0.0549,-0.0126,-0.0424,-0.0132,-0.021,-0.0011,-0.0076,4.333,0.0605,0.0288,0.06,0.0,0.0,588000.0,1.87
5,30000,1.01,3.0073,-0.001,17.1749,26.98,120.85,0.0422,0.2906,1.1089,0.0075,0.538,-0.3191,-0.0001,-0.0614,-0.0156,-0.0507,-0.019,-0.0222,-0.0013,-0.0086,4.3225,0.0781,0.0359,0.0715,0.0,0.0,705600.0,1.96
6,30000,1.01,2.9183,0.0069,17.1866,33.51,148.15,0.0391,0.3432,1.4058,0.0088,0.5646,-0.3766,-0.0001,-0.0666,-0.018,-0.0638,-0.0206,-0.0368,-0.0015,-0.0101,4.3128,0.0822,0.0424,0.082,0.0,0.0,823200.0,1.94
7,30000,1.01,2.8028,-0.0006,17.1644,39.28,173.45,0.049,0.3984,1.5471,0.0104,0.7225,-0.4344,-0.0001,-0.0772,-0.0206,-0.0748,-0.0242,-0.0336,-0.0018,-0.0116,4.3013,0.103,0.0466,0.0946,0.0,0.0,940800.0,1.96
8,30000,1.01,2.6988,0.002,17.1623,43.89,193.3,0.0576,0.447,1.7165,0.0123,0.8588,-0.4936,-0.0001,-0.086,-0.0244,-0.0822,-0.0243,-0.0332,-0.002,-0.0129,4.2908,0.1201,0.0566,0.1062,0.0,0.0,1058400.0,1.96
9,30000,1.01,2.5787,0.0014,17.1379,50.11,220.56,0.0511,0.497,2.0775,0.0133,0.8431,-0.5516,-0.0001,-0.0911,-0.0265,-0.0965,-0.0332,-0.0531,-0.0023,-0.0144,4.2809,0.1189,0.0664,0.1178,0.0,0.0,1176000.0,2.05
10,30000,1.0,2.4551,-0.001,17.0851,55.24,241.4,0.0622,0.5544,2.2106,0.0148,1.0258,-0.6065,-0.0002,-0.0957,-0.0295,-0.1093,-0.0392,-0.0463,-0.0026,-0.0159,4.2716,0.1392,0.0674,0.1287,0.0,0.0,1293600.0,1.95
11,30000,1.0,2.4052,0.0019,17.0365,60.72,265.16,0.0705,0.6073,2.3235,0.0161,1.1625,-0.6697,-0.0002,-0.1079,-0.0324,-0.1223,-0.0467,-0.0471,-0.0028,-0.0177,4.262,0.1628,0.0741,0.1389,0.0,0.0,1411200.0,2.03
12,30000,1.0,2.2995,0.0002,17.0001,67.25,292.47,0.0779,0.6622,2.4687,0.0179,1.3332,-0.7255,-0.0002,-0.1086,-0.0346,-0.1276,-0.044,-0.0426,-0.003,-0.0184,4.2511,0.1823,0.0789,0.1509,0.0,0.0,1528800.0,2.03
13,30000,0.99,2.2267,0.0002,16.9697,73.15,317.07,0.0694,0.7091,2.952,0.0195,1.2161,-0.7815,-0.0002,-0.1172,-0.0377,-0.143,-0.0471,-0.0741,-0.0033,-0.0197,4.2402,0.1672,0.0905,0.1632,0.0,0.0,1646400.0,2.02
14,30000,0.99,2.1454,-0.0032,16.9097,79.04,339.81,0.0724,0.7626,3.2698,0.021,1.2649,-0.8395,-0.0002,-0.1264,-0.0399,-0.1498,-0.0501,-0.0842,-0.0035,-0.0211,4.2303,0.1709,0.0968,0.1749,0.0,0.0,1764000.0,1.95
15,30000,0.99,2.0765,-0.0004,16.8773,85.01,367.17,0.0889,0.814,3.1587,0.0223,1.5924,-0.8986,-0.0002,-0.1324,-0.0433,-0.1668,-0.0545,-0.0613,-0.0038,-0.0225,4.2189,0.2161,0.1043,0.1877,0.0,0.0,1881600.0,1.94
16,30000,0.99,1.9867,-0.0031,16.8496,90.98,392.69,0.0836,0.8669,3.596,0.0239,1.4781,-0.9532,-0.0002,-0.1405,-0.0457,-0.176,-0.0469,-0.0907,-0.0038,-0.0238,4.2046,0.2077,0.1108,0.2036,0.0,0.0,1999200.0,1.95
17,30000,0.98,1.8877,-0.0046,16.8024,95.06,409.65,0.0955,0.9185,3.6416,0.0256,1.7745,-1.0079,-0.0002,-0.1445,-0.0478,-0.1866,-0.0646,-0.072,-0.0043,-0.025,4.194,0.2356,0.1176,0.216,0.0,0.0,2116800.0,1.89
18,30000,0.98,1.8643,0.001,16.7336,102.69,436.46,0.1057,0.971,3.8483,0.0271,1.9284,-1.0672,-0.0002,-0.1555,-0.0503,-0.1973,-0.0509,-0.0692,-0.0042,-0.0263,4.1832,0.2485,0.1247,0.2274,0.0,0.0,2234400.0,1.91
19,30000,0.97,1.7477,-0.0014,16.7214,109.29,461.17,0.106,1.0269,4.1685,0.0291,1.9394,-1.1201,-0.0002,-0.1605,-0.0531,-0.2031,-0.0607,-0.0853,-0.0046,-0.0275,4.1715,0.2506,0.128,0.2398,0.0,0.0,2352000.0,1.9
20,30000,0.97,1.671,-0.0033,16.642,113.93,483.29,0.1059,1.085,4.3629,0.0301,2.0166,-1.1757,-0.0002,-0.167,-0.0555,-0.2224,-0.0808,-0.0934,-0.005,-0.0303,4.1607,0.2664,0.1292,0.2518,0.0,0.0,2469600.0,1.9
21,30000,0.97,1.6681,0.004,16.6279,119.36,509.04,0.1178,1.1371,4.5338,0.0322,2.1884,-1.2301,-0.0003,-0.1743,-0.0586,-0.2273,-0.0611,-0.087,-0.005,-0.0301,4.1499,0.2827,0.1365,0.2643,0.0,0.0,2587200.0,1.93
22,30000,0.96,1.5529,-0.0007,16.6156,125.84,531.5,0.1157,1.1852,4.9166,0.0335,2.1972,-1.2873,-0.0003,-0.1798,-0.0605,-0.2412,-0.0722,-0.1028,-0.0053,-0.0317,4.1401,0.2782,0.1475,0.2756,0.0,0.0,2704800.0,1.91
23,30000,0.96,1.5077,-0.0031,16.5282,132.99,557.17,0.1064,1.2337,5.3785,0.0348,2.0705,-1.3467,-0.0003,-0.1894,-0.0644,-0.2487,-0.0832,-0.1338,-0.0056,-0.0335,4.1287,0.2673,0.1578,0.2887,0.0,0.0,2822400.0,1.92
24,30000,0.96,1.4365,-0.0018,16.5112,137.29,577.27,0.1243,1.2918,5.4062,0.0375,2.2618,-1.393,-0.0003,-0.201,-0.0665,-0.256,-0.0621,-0.1246,-0.0055,-0.0338,4.1192,0.2985,0.1589,0.3002,0.0,0.0,2940000.0,1.9
25,30000,0.96,1.4123,0.0039,16.4818,143.92,603.8,0.1273,1.3434,5.6495,0.0381,2.4002,-1.4504,-0.0003,-0.2038,-0.0688,-0.2714,-0.0684,-0.1279,-0.0058,-0.0352,4.1089,0.3073,0.1665,0.3122,0.0,0.0,3057600.0,1.88
26,30000,0.95,1.3353,-0.0002,16.4722,149.41,626.03,0.1388,1.4017,5.6941,0.04,2.666,-1.5058,-0.0003,-0.2125,-0.0731,-0.2774,-0.0756,-0.1129,-0.0062,-0.0365,4.099,0.3366,0.1674,0.3231,0.0,0.0,3175200.0,1.89
27,30000,0.95,1.3054,-0.002,16.3829,155.88,652.51,0.1483,1.4391,5.8138,0.0414,2.8395,-1.5645,-0.0003,-0.216,-0.0736,-0.2885,-0.0979,-0.1082,-0.0066,-0.0389,4.0881,0.358,0.1888,0.3351,0.0,0.0,3292800.0,1.92
28,30000,0.95,1.2815,-0.0012,16.3694,161.32,673.19,0.1603,1.5024,5.796,0.0427,3.1249,-1.6133,-0.0003,-0.2229,-0.0768,-0.303,-0.1227,-0.0904,-0.007,-0.041,4.0783,0.395,0.1851,0.3454,0.0,0.0,3410400.0,1.9
29,30000,0.95,1.195,-0.0033,16.3376,168.15,697.38,0.159,1.5534,6.3301,0.0451,3.0665,-1.668,-0.0003,-0.2285,-0.0785,-0.3063,-0.086,-0.1118,-0.0068,-0.0399,4.0676,0.3744,0.1932,0.3571,0.0,0.0,3528000.0,1.98
30,30000,0.95,1.1413,-0.001,16.3517,173.56,721.71,0.1556,1.6054,6.5494,0.0464,2.9944,-1.7241,-0.0003,-0.2381,-0.0812,-0.3253,-0.0984,-0.1352,-0.0071,-0.0426,4.0586,0.3895,0.2001,0.3672,0.0,0.0,3645600.0,1.92
31,30000,0.94,1.0883,-0.002,16.325,180.61,750.73,0.1653,1.6609,6.7588,0.0486,3.2124,-1.7721,-0.0004,-0.2449,-0.0846,-0.3267,-0.0844,-0.1281,-0.0072,-0.0424,4.0472,0.4005,0.2042,0.3798,0.0,0.0,3763200.0,1.91
32,30000,0.93,1.0272,0.0006,16.2205,187.67,768.88,0.1678,1.7102,7.1845,0.0496,3.2195,-1.8265,-0.0004,-0.2511,-0.0876,-0.3367,-0.0826,-0.1434,-0.0073,-0.0442,4.0365,0.3912,0.2137,0.3917,0.0,0.0,3880800.0,1.89
33,30000,0.93,0.9507,0.0004,16.1897,193.22,794.06,0.1587,1.772,7.6508,0.0508,3.0635,-1.882,-0.0004,-0.256,-0.0895,-0.3611,-0.0953,-0.1794,-0.0077,-0.0457,4.0276,0.3791,0.211,0.4021,0.0,0.0,3998400.0,1.88
34,30000,0.93,0.946,-0.0044,16.0784,199.43,821.99,0.1866,1.8166,7.3462,0.0528,3.594,-1.9317,-0.0004,-0.2666,-0.0938,-0.365,-0.0894,-0.1321,-0.0077,-0.0471,4.0163,0.4437,0.2257,0.4151,0.0,0.0,4116000.0,1.9
35,30000,0.93,0.882,-0.0003,16.0509,204.95,845.24,0.1984,1.8725,7.4707,0.0536,3.834,-1.9909,-0.0004,-0.2772,-0.0958,-0.3736,-0.0867,-0.1201,-0.0079,-0.0485,4.0042,0.4646,0.2291,0.4279,0.0,0.0,4233600.0,1.92
36,30000,0.92,0.8713,0.0008,16.0117,212.53,869.39,0.1863,1.9253,8.0372,0.0549,3.6952,-2.0376,-0.0004,-0.2778,-0.0979,-0.3886,-0.1037,-0.1525,-0.0083,-0.0498,3.993,0.4415,0.2356,0.4398,0.0,0.0,4351200.0,1.94
37,30000,0.91,0.8189,-0.0021,15.9809,216.86,895.64,0.1665,1.973,8.8482,0.0578,3.1273,-2.0923,-0.0004,-0.2923,-0.1009,-0.3933,-0.096,-0.2343,-0.0084,-0.0509,3.9826,0.3995,0.2472,0.4529,0.0,0.0,4468800.0,1.98
38,30000,0.91,0.8003,-0.0037,15.8587,225.2,920.24,0.1993,2.0184,8.448,0.0591,3.8868,-2.1448,-0.0004,-0.2949,-0.1029,-0.4114,-0.1192,-0.1624,-0.0089,-0.0526,3.9685,0.4693,0.2607,0.4685,0.0,0.0,4586400.0,1.93
39,30000,0.91,0.7504,0.0025,15.8347,229.08,937.91,0.1975,2.0845,8.5961,0.0605,3.9156,-2.1902,-0.0004,-0.2932,-0.1043,-0.4209,-0.1364,-0.1743,-0.0093,-0.0537,3.9582,0.4907,0.2542,0.4802,0.0,0.0,4704000.0,1.91
40,30000,0.9,0.7134,0.0033,15.7941,235.64,961.59,0.2023,2.1336,9.2451,0.0623,3.8782,-2.245,-0.0004,-0.3121,-0.1075,-0.443,-0.1097,-0.1949,-0.0091,-0.0548,3.9492,0.4569,0.2642,0.4911,0.0,0.0,4821600.0,1.95
41,30000,0.9,0.6859,0.0001,15.6736,243.93,989.61,0.2183,2.1886,8.9459,0.0629,4.3866,-2.2948,-0.0005,-0.3124,-0.111,-0.4381,-0.1503,-0.1529,-0.0099,-0.0572,3.9386,0.5209,0.2679,0.503,0.0,0.0,4939200.0,1.92
42,30000,0.89,0.6955,-0.0029,15.6018,249.88,1014.18,0.201,2.226,9.5055,0.0658,3.9509,-2.3431,-0.0005,-0.3158,-0.1138,-0.4379,-0.1305,-0.2192,-0.0099,-0.0572,3.9268,0.5002,0.2897,0.5158,0.0,0.0,5056800.0,1.94
43,30000,0.88,0.6327,-0.0011,15.5566,256.34,1040.34,0.2212,2.2861,9.7177,0.0675,4.3083,-2.3965,-0.0005,-0.3246,-0.1151,-0.4484,-0.1308,-0.1918,-0.01,-0.0585,3.9148,0.5117,0.2891,0.5301,0.0,0.0,5174400.0,1.96
44,30000,0.88,0.6033,-0.0011,15.452,261.88,1056.08,0.2343,2.3516,9.7191,0.0681,4.6851,-2.4456,-0.0005,-0.3329,-0.117,-0.4656,-0.1218,-0.165,-0.01,-0.0595,3.9037,0.5441,0.2824,0.543,0.0,0.0,5292000.0,1.88
