iteration,action_noise_std,value_function_loss,surrogate_loss,entropy_loss,mean_reward,mean_episode_length,rew_air_time,rew_base_angular_vel,rew_base_linear_vel,rew_foot_clearance,rew_gait,rew_action_smoothness,rew_air_time_variance,rew_base_motion,rew_base_orientation,rew_foot_slip,rew_joint_acc,rew_joint_pos,rew_joint_torques,rew_joint_vel,terrain_level,error_vel_xy,error_vel_yaw,term_timeout,term_body_contact,term_out_of_bounds,total_timesteps
0,1.0,1.9878,0.1129,17.0352,2.2,13.58,0.0099,0.0298,0.0821,0.0001,0.0364,-0.0292,-0.0,-0.0128,-0.0013,-0.0002,-0.0034,-0.0029,-0.0001,-0.0018,4.3822,0.0122,0.001,0.0071,0.0,0.0,117600.0
1,1.0,2.3406,0.002,17.0403,5.12,33.18,0.0229,0.0824,0.2551,0.0024,0.0929,-0.0879,-0.0001,-0.0431,-0.0047,-0.0073,-0.007,-0.0095,-0.0004,-0.0036,4.3645,0.035,0.0076,0.0216,0.0046,0.0,235200.0
2,1.0,2.5685,-0.0019,17.0447,9.26,55.65,0.0321,0.1316,0.3732,0.0056,0.1991,-0.1446,-0.0001,-0.0493,-0.0081,-0.0176,-0.0099,-0.012,-0.0006,-0.0051,4.352,0.0661,0.0166,0.0342,0.0059,0.0,352800.0
3,1.0,2.685,-0.0022,17.0709,13.38,76.62,0.0343,0.1856,0.6015,0.009,0.2919,-0.2022,-0.0001,-0.0563,-0.0114,-0.0302,-0.0139,-0.019,-0.0009,-0.0065,4.3384,0.0781,0.0224,0.0476,0.0069,0.0,470400.0
4,1.01,2.6282,0.0025,17.0866,17.38,99.04,0.0393,0.2315,0.6093,0.0118,0.3936,-0.2573,-0.0001,-0.0644,-0.0131,-0.0396,-0.0131,-0.0215,-0.001,-0.0076,4.328,0.1349,0.0327,0.0592,0.0074,0.0,588000.0
5,1.01,2.4904,-0.0009,17.0919,21.9,121.14,0.0483,0.2879,0.9117,0.0147,0.5181,-0.3188,-0.0001,-0.0715,-0.0174,-0.0486,-0.0194,-0.0228,-0.0013,-0.0087,4.3174,0.1292,0.0385,0.0706,0.0077,0.0,705600.0
6,1.0,2.4032,0.0047,17.078,27.27,147.61,0.0432,0.3411,1.1387,0.0185,0.5443,-0.3747,-0.0001,-0.0776,-0.0205,-0.0615,-0.0221,-0.0377,-0.0016,-0.0102,4.3072,0.1463,0.0424,0.081,0.0082,0.0,823200.0
7,1.0,2.2486,0.0011,17.0698,32.3,173.92,0.0554,0.3945,1.2535,0.0213,0.7013,-0.4325,-0.0002,-0.087,-0.0224,-0.0721,-0.0252,-0.0339,-0.0018,-0.0117,4.2956,0.1759,0.0501,0.0936,0.0085,0.0,940800.0
8,1.0,2.1972,-0.0017,17.0332,35.89,193.16,0.0626,0.4421,1.2304,0.0242,0.8498,-0.4918,-0.0002,-0.094,-0.0264,-0.082,-0.0253,-0.0334,-0.002,-0.0129,4.285,0.2352,0.062,0.1051,0.0088,0.0,1058400.0
9,1.0,2.0807,0.0005,17.0171,42.38,220.09,0.0563,0.4955,1.8051,0.0271,0.8264,-0.5498,-0.0002,-0.0992,-0.0289,-0.0934,-0.0336,-0.0536,-0.0023,-0.0144,4.2754,0.1957,0.068,0.1165,0.0088,0.0,1176000.0
10,1.0,1.9775,-0.0022,16.9843,45.51,236.92,0.0671,0.5365,1.6155,0.0309,0.9795,-0.5877,-0.0002,-0.1034,-0.0303,-0.1041,-0.0397,-0.0454,-0.0025,-0.0156,4.2662,0.2521,0.0689,0.1269,0.0091,0.0,1293600.0
11,0.99,1.8937,0.0016,16.9481,49.53,260.95,0.077,0.6015,1.881,0.0322,1.1415,-0.6656,-0.0002,-0.1149,-0.0363,-0.1181,-0.0459,-0.0478,-0.0028,-0.0177,4.2563,0.2694,0.0801,0.1369,0.0096,0.0,1411200.0
12,0.99,1.9048,0.0072,16.8937,58.4,292.55,0.084,0.6578,2.0741,0.037,1.2906,-0.7215,-0.0002,-0.1179,-0.0379,-0.1264,-0.0449,-0.0457,-0.003,-0.0184,4.2455,0.2966,0.0833,0.1488,0.0099,0.0,1528800.0
13,0.99,1.7777,0.0012,16.8877,62.16,311.56,0.0717,0.6451,2.0444,0.0374,1.1255,-0.7081,-0.0002,-0.1172,-0.0367,-0.1252,-0.0456,-0.0631,-0.003,-0.0181,4.235,0.2932,0.0844,0.1606,0.0103,0.0,1646400.0
14,0.98,1.7104,-0.0024,16.8247,65.73,337.2,0.0775,0.7576,2.6809,0.0419,1.2502,-0.8358,-0.0002,-0.1337,-0.0442,-0.1458,-0.0519,-0.085,-0.0035,-0.021,4.2251,0.3044,0.1019,0.1723,0.0105,0.0,1764000.0
