iteration,action_noise_std,value_function_loss,surrogate_loss,entropy_loss,mean_reward,mean_episode_length,rew_air_time,rew_base_angular_vel,rew_base_linear_vel,rew_foot_clearance,rew_gait,rew_action_smoothness,rew_air_time_variance,rew_base_motion,rew_base_orientation,rew_foot_slip,rew_joint_acc,rew_joint_pos,rew_joint_torques,rew_joint_vel,terrain_level,error_vel_xy,error_vel_yaw,term_timeout,term_body_contact,term_out_of_bounds,total_timesteps
0,1.0,1.5217,0.1046,21.2765,2.3,15.24,0.0086,0.029,0.0879,0.0002,0.0347,-0.0332,-0.0,-0.0129,-0.0011,-0.0003,-0.0032,-0.0035,-0.0001,-0.0017,4.3831,0.0108,0.0015,0.0066,0.0003,0.0,117600.0
1,1.0,0.785,0.0017,21.2763,5.52,46.25,0.0232,0.0798,0.2524,0.0023,0.097,-0.0981,-0.0001,-0.0592,-0.0149,-0.009,-0.0067,-0.0092,-0.0004,-0.0037,3.9798,0.0355,0.0097,0.017,0.4527,0.0,235200.0
2,1.0,0.6616,-0.0031,21.2693,4.55,38.08,0.0253,0.0947,0.3071,0.0034,0.1188,-0.1173,-0.0001,-0.0623,-0.0202,-0.012,-0.007,-0.0103,-0.0004,-0.0037,3.5037,0.0423,0.0127,0.0097,0.9108,0.0,352800.0
3,1.0,0.8736,-0.004,21.2501,5.36,40.92,0.0258,0.093,0.2909,0.0033,0.1181,-0.1149,-0.0001,-0.0626,-0.0193,-0.0116,-0.0061,-0.0088,-0.0004,-0.0033,2.9578,0.0437,0.0122,0.0028,0.9739,0.0,470400.0
4,1.0,0.7073,-0.0018,21.2489,4.92,40.18,0.0241,0.0848,0.262,0.0026,0.1032,-0.1035,-0.0001,-0.0628,-0.0157,-0.0099,-0.0057,-0.0079,-0.0004,-0.003,2.5413,0.0397,0.0102,0.0007,0.9895,0.0,588000.0
5,1.0,0.5207,0.0,21.2241,4.96,36.5,0.0245,0.087,0.2752,0.0028,0.1062,-0.1061,-0.0001,-0.0631,-0.0165,-0.0104,-0.0057,-0.0081,-0.0004,-0.0031,2.1556,0.0395,0.0105,0.0,0.996,0.0,705600.0
6,0.99,0.5006,-0.0028,21.1941,5.07,39.3,0.0245,0.089,0.2746,0.0029,0.11,-0.1086,-0.0001,-0.0628,-0.017,-0.0108,-0.006,-0.0084,-0.0004,-0.0031,1.7714,0.0422,0.0108,0.0,0.9986,0.0,823200.0
7,0.99,0.448,-0.0015,21.1478,4.81,39.51,0.0245,0.0861,0.2669,0.0027,0.1068,-0.1049,-0.0001,-0.0629,-0.0162,-0.0103,-0.0057,-0.0077,-0.0004,-0.003,1.4474,0.0401,0.0105,0.0,0.9997,0.0,940800.0
8,0.99,0.4343,-0.0026,21.1113,5.45,39.61,0.0241,0.0857,0.2667,0.0026,0.104,-0.1036,-0.0001,-0.0631,-0.0158,-0.0101,-0.0057,-0.0079,-0.0004,-0.003,1.1643,0.0396,0.0101,0.0,1.0,0.0,1058400.0
9,0.99,0.437,-0.0026,21.0861,4.78,37.68,0.0248,0.087,0.2711,0.0027,0.1075,-0.1052,-0.0001,-0.0629,-0.0163,-0.0104,-0.0056,-0.0079,-0.0004,-0.003,0.9072,0.0402,0.0105,0.0,1.0,0.0,1176000.0
10,0.98,0.4209,-0.0036,21.0293,5.49,42.25,0.0244,0.0868,0.2733,0.0027,0.1056,-0.1046,-0.0001,-0.063,-0.0165,-0.0103,-0.0057,-0.0082,-0.0004,-0.003,0.6864,0.0399,0.0106,0.0,1.0,0.0,1293600.0
11,0.98,0.4576,-0.002,20.9853,5.31,39.88,0.0246,0.0867,0.2735,0.0027,0.106,-0.1041,-0.0001,-0.063,-0.0163,-0.0102,-0.0056,-0.008,-0.0004,-0.003,0.5023,0.0397,0.0105,0.0,1.0,0.0,1411200.0
12,0.98,0.4591,-0.0027,20.9276,5.5,41.62,0.0251,0.0882,0.2771,0.0028,0.1087,-0.1053,-0.0001,-0.063,-0.0168,-0.0105,-0.006,-0.008,-0.0004,-0.0031,0.3536,0.0404,0.0106,0.0,1.0,0.0,1528800.0
13,0.97,0.452,-0.0072,20.8748,5.64,43.75,0.0253,0.0877,0.2721,0.0027,0.1093,-0.1045,-0.0001,-0.0629,-0.0168,-0.0103,-0.0057,-0.0077,-0.0004,-0.0031,0.2397,0.0407,0.0107,0.0,1.0,0.0,1646400.0
14,0.97,0.4806,-0.0061,20.8412,5.23,41.22,0.0254,0.0886,0.2758,0.0028,0.1097,-0.1055,-0.0001,-0.063,-0.0169,-0.0105,-0.0058,-0.008,-0.0004,-0.0031,0.1581,0.0411,0.0109,0.0,1.0,0.0,1764000.0
15,0.97,0.4816,-0.0063,20.7913,5.17,41.88,0.0252,0.0893,0.2805,0.0028,0.1101,-0.1059,-0.0001,-0.0629,-0.0173,-0.0107,-0.0058,-0.0082,-0.0004,-0.0031,0.1026,0.041,0.0109,0.0,1.0,0.0,1881600.0
16,0.96,0.4817,-0.0063,20.7298,5.37,40.59,0.0255,0.0903,0.2803,0.0029,0.112,-0.1065,-0.0001,-0.0628,-0.0179,-0.0108,-0.006,-0.0082,-0.0004,-0.0031,0.0675,0.042,0.0111,0.0,1.0,0.0,1999200.0
17,0.96,0.4906,-0.006,20.6741,5.68,40.79,0.0252,0.09,0.2818,0.0028,0.1113,-0.1055,-0.0001,-0.0627,-0.0177,-0.0107,-0.0059,-0.0083,-0.0004,-0.0031,0.0433,0.0414,0.011,0.0,1.0,0.0,2116800.0
18,0.96,0.5112,-0.0076,20.6269,5.67,42.94,0.0253,0.0906,0.2829,0.0029,0.1124,-0.1059,-0.0001,-0.0626,-0.0176,-0.0108,-0.0058,-0.0083,-0.0004,-0.0031,0.0276,0.042,0.0111,0.0,1.0,0.0,2234400.0
19,0.95,0.5276,-0.0068,20.5811,5.51,41.47,0.025,0.0918,0.2875,0.003,0.1129,-0.1071,-0.0001,-0.0628,-0.0182,-0.011,-0.0057,-0.0087,-0.0004,-0.0031,0.0168,0.0425,0.0114,0.0,1.0,0.0,2352000.0
20,0.95,0.5143,-0.0073,20.5358,5.67,42.85,0.0261,0.0915,0.2818,0.0029,0.1154,-0.1063,-0.0001,-0.0627,-0.0182,-0.011,-0.006,-0.0081,-0.0004,-0.0031,0.0117,0.0431,0.0113,0.0,1.0,0.0,2469600.0
21,0.95,0.5242,-0.0065,20.4662,5.06,41.54,0.026,0.0909,0.2855,0.0029,0.1125,-0.1054,-0.0001,-0.0627,-0.018,-0.0107,-0.0057,-0.0083,-0.0004,-0.0031,0.0071,0.0419,0.0113,0.0,1.0,0.0,2587200.0
22,0.95,0.5124,-0.009,20.4222,5.82,43.06,0.026,0.0925,0.2905,0.003,0.1148,-0.1071,-0.0001,-0.0629,-0.0182,-0.011,-0.006,-0.0085,-0.0004,-0.0031,0.0045,0.0425,0.0115,0.0,1.0,0.0,2704800.0
23,0.94,0.5443,-0.0079,20.3865,5.33,41.34,0.026,0.0932,0.292,0.003,0.1165,-0.1073,-0.0001,-0.0629,-0.0185,-0.0112,-0.0058,-0.0086,-0.0004,-0.0032,0.0027,0.0432,0.0116,0.0,1.0,0.0,2822400.0
24,0.94,0.5357,-0.0103,20.3341,5.59,40.76,0.0258,0.0941,0.294,0.0031,0.1165,-0.1082,-0.0001,-0.0631,-0.0187,-0.0113,-0.0058,-0.0089,-0.0004,-0.0032,0.0011,0.0438,0.0118,0.0,1.0,0.0,2940000.0
25,0.94,0.5864,-0.0082,20.2949,5.21,41.94,0.0258,0.0942,0.2977,0.0031,0.1161,-0.1078,-0.0001,-0.0627,-0.0188,-0.0113,-0.0058,-0.009,-0.0004,-0.0032,0.0004,0.0432,0.0118,0.0,1.0,0.0,3057600.0
26,0.93,0.58,-0.0096,20.2393,5.67,43.83,0.0261,0.0945,0.297,0.0031,0.1171,-0.108,-0.0001,-0.0629,-0.019,-0.0114,-0.006,-0.0089,-0.0004,-0.0032,0.0002,0.0436,0.0118,0.0,1.0,0.0,3175200.0
27,0.93,0.5705,-0.0102,20.2056,5.25,43.11,0.0274,0.0961,0.2964,0.0032,0.1229,-0.1097,-0.0001,-0.0629,-0.0197,-0.0116,-0.0059,-0.0085,-0.0004,-0.0032,0.0002,0.0453,0.0121,0.0,1.0,0.0,3292800.0
